Latitude Longitude
-45.1929 166.83
-45.3592 166.8152
-45.29 166.802
-45.0656 166.9658
-45.1861 166.9908
-45.3072 166.9217
-45.1529 166.8441
-45.2061 166.9382
-45.4882 166.6794
-45.3144 166.9468
-43.2859 172.9231
-43.2889 172.8909
-43.7851 173.4557
-45.2039 166.3132
-45.2234 166.4301
-45.1773 166.8506
-36.78 179.32
-45.4172 166.1204
-45.2054 166.3523
-42.8995 171.6705
-45.0954 166.7951
-43.3772 171.0577
-39.3274 174.9457
-45.0359 166.9677
-35.7046 179.6178
-36.1988 177.5091
-37.2938 177.7772
-45.2257 170.0675
-42.1927 174.7723
-38.9062 175.8241
-45.2428 166.9295
-38.4034 177.9745
-41.8875 174.0222
-40.0081 176.7068
-41.0922 175.0611
-42.6353 172.1553
-46.1201 165.6366
-37.9953 176.6936
-36.8374 179.6392
-38.218 178.4135
-38.025 178.1777
-38.0513 178.2758
-40.6511 175.7653
-37.3897 177.5774
-39.2341 177.4784
-42.8315 171.3794
-38.0122 176.5224
-38.0109 176.497
-38.0054 176.5141
-37.9968 176.5436
-37.993 176.5492
-41.7385 172.4939
-36.9377 -179.5876
-37.9988 176.5645
-45.2161 166.9346
-43.8094 170.8878
-40.2388 174.4505
-43.2538 172.7555
-37.8007 177.6077
-39.448 177.1046
-37.9019 179.7384
-41.4275 172.3639
-37.1848 177.5114
-42.3412 173.1374
-40.2959 175.9649
-35.2715 178.0314
-37.3097 179.8277
-37.1399 177.4114
-35.1457 178.4375
-40.6452 175.0892
-45.1228 166.9213
-45.0691 166.9627
-46.6061 165.3169
-44.0696 168.8281
-39.6929 177.0535
-40.2365 176.6252
-45.057 167.4321
-37.6671 176.3954
-43.2097 171.0562
-41.4634 175.7893
-41.4636 175.8012
-41.0912 175.0526
-45.1285 166.9172
-41.4572 175.7617
-45.3295 166.9221
-39.9041 174.6024
-35.6249 178.2846
-40.1788 173.6723
-35.28 178.4586
-45.0793 166.8092
-45.0597 166.7731
-43.9508 169.5626
-43.2198 171.6218
-44.3705 169.8714
-42.9846 171.0234
-42.9995 171.0272
-41.65 174.5499
-37.1546 176.9123
-41.7139 174.285
-44.3498 169.5298
-45.8777 166.8652
-38.3419 177.174
-43.9412 168.9747
-43.9512 169.0377
-38.226 179.4423
-36.7272 179.578
-38.7 179.1
-45.5616 166.3935
-38.9168 175.9961
-38.2113 179.4734
-38.2497 179.3779
-37.1741 177.5061
-37.8824 176.7308
-45.7463 166.4011
-35.2066 178.8664
-41.9772 173.9061
-41.9758 173.8861
-45.2332 166.4798
-40.6008 176.869
-47.911 165.4839
-41.5067 174.2004
-41.8821 171.7026
-37.8975 176.364
-45.7046 165.9877
-41.9565 171.6709
-37.3316 178.1759
-43.2093 170.7666
-37.9023 176.7199
-39.6601 177.3016
-35.7344 178.52
-37.1616 177.3998
-46.7826 165.6563
-42.0328 171.6766
-42.6784 172.4836
-35.1586 179.4213
-40.3907 176.2323
-45.8802 166.8971
-41.6596 174.1859
-41.6585 174.1908
-41.7418 174.2628
-41.6568 174.169
-37.2103 177.4722
-39.0098 176.0417
-41.573 174.2161
-38.2078 176.294
-40.5148 176.0543
-41.0958 174.8616
-40.859 176.3355
-45.2511 166.8986
-40.3818 176.9531
-40.3816 176.9842
-36.9437 177.749
-46.8426 165.8225
-41.0805 175.0631
-39.9651 176.5882
-38.5764 175.8269
-40.334 176.3814
-37.7716 178.5468
-40.2128 173.4244
-40.7937 176.4128
-40.1307 174.8885
-40.1173 174.9649
-45.2888 167.1834
-39.8999 176.8019
-38.0459 178.2978
-40.5424 176.9353
-40.5029 176.8575
-47.041 165.701
-36.9005 176.9864
-36.7398 177.0909
-43.2994 170.5077
-43.2979 170.5063
-40.9429 174.4539
-38.3507 177.2325
-40.496 176.396
-38.5047 175.863
-37.2003 177.3479
-45.1273 166.8899
-39.1796 176.8228
-37.4193 176.6615
-41.6772 174.1599
-40.5996 173.286
-42.4558 172.6956
-41.7639 172.6523
-39.8712 175.314
-38.5566 175.8355
-37.2038 177.4984
-39.3323 174.6358
-40.5164 176.8389
-40.9652 174.4778
-43.5026 169.9035
-43.5324 169.9306
-43.5371 169.9134
-40.4784 173.1688
-39.7005 176.5135
-37.4592 178.9027
-41.0616 174.3345
-42.988 172.1025
-42.4753 172.6761
-45.0652 166.7724
-38.1599 176.8618
-37.9614 176.5134
-36.6407 177.1172
-38.2192 177.4876
-44.4136 168.2575
-36.705 177.1389
-38.7488 175.7554
-37.5072 177.3018
-47.4662 165.4772
-39.5411 175.8554
-37.9109 178.6907
-36.6939 177.1003
-47.4928 165.0953
-45.1493 166.7483
-39.097 176.2961
-41.0163 174.4775
-45.2341 166.9574
-46.3224 166.358
-36.5304 175.0359
-45.5493 166.9707
-41.3732 172.3625
-40.3804 175.3519
-44.02 169.5903
