"record_id","month","day","year","plot_id","species_id","sex","hindfoot_length","weight"
1,7,16,1977,2,"NL","M",32,NA
3,7,16,1977,2,"DM","F",37,NA
6,7,16,1977,1,"PF","M",14,NA
7,7,16,1977,2,"PE","F",NA,NA
11,7,16,1977,5,"DS","F",53,NA
18,7,16,1977,2,"PP","M",22,NA
24,7,17,1977,13,"SH","M",21,NA
36,7,17,1977,16,"OT","F",22,NA
68,8,19,1977,8,"DO","F",32,52
70,8,19,1977,3,"OX","F",21,22
77,8,19,1977,4,"SS",NA,NA,NA
274,10,16,1977,2,"OL","F",20,21
311,10,17,1977,19,"RM","M",18,13
324,10,17,1977,7,NA,NA,NA,NA
779,4,9,1978,11,"SA",NA,NA,NA
883,5,18,1978,17,"PM","F",20,22
1446,11,5,1978,15,"AH",NA,NA,NA
2706,3,9,1980,4,"DX",NA,NA,NA
3126,7,21,1980,8,"AB",NA,NA,NA
3189,8,13,1980,23,"CB",NA,NA,NA
3190,8,13,1980,9,"CM",NA,NA,NA
3200,8,13,1980,19,"CQ",NA,NA,NA
5764,4,29,1982,3,"RF","M",17,12
6567,9,18,1982,14,"PC",NA,NA,NA
7352,2,26,1983,11,"PG",NA,NA,NA
9476,8,25,1984,14,"PH","M",27,31
9643,10,20,1984,20,"PU",NA,NA,NA
13313,8,26,1987,15,"CV",NA,NA,NA
13564,10,25,1987,8,"UR",NA,NA,NA
13688,11,21,1987,12,"UP",NA,NA,NA
14250,3,20,1988,18,"ZL",NA,NA,NA
14466,5,14,1988,17,"UL",NA,NA,NA
15878,4,1,1989,11,"CS",NA,NA,NA
16002,5,9,1989,19,"SC",NA,NA,NA
16598,11,4,1989,21,"BA","M",13,7
16659,11,4,1989,19,"SF","M",27,50
18871,7,13,1991,10,"RO","F",14,11
18932,8,7,1991,19,"AS",NA,NA,NA
19125,10,10,1991,20,"SO","F",30,80
20408,9,27,1992,3,"PI",NA,20,18
20723,3,17,1993,20,"ST",NA,NA,NA
21209,11,13,1993,7,"CU",NA,NA,NA
21807,10,12,1994,20,"SU",NA,NA,NA
22285,4,30,1995,9,"RX","M",20,20
22711,9,23,1995,1,"PB","F",24,30
22817,9,24,1995,10,"PL",NA,20,25
23435,2,25,1996,13,"PX",NA,NA,NA
28988,12,23,1998,6,"CT",NA,NA,NA
35512,12,31,2002,11,"US",NA,NA,NA
